Area,Usual residence five years ago,Age group,Sex,Value,Flags
"Oceanic-Auckland Region East","Total people, usual residence five years ago","Total people, age group","Total people, sex",6,
"Tidal-Great Barrier Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tidal-Motutapu and Browns Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Auckland Region West","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tidal-Manukau Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",15,
"Inlet-Manukau Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tidal-Manukau Harbour North","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Tidal-Tamaki","Total people, usual residence five years ago","Total people, age group","Total people, sex",3,
"Tamaki Strait","Total people, usual residence five years ago","Total people, age group","Total people, sex",18,
"Tidal-Eastern Bays","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Waiuku River","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Waitemata Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",168,
"Tidal-Waitemata Harbour","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Auckland City-Marinas","Total people, usual residence five years ago","Total people, age group","Total people, sex",42,
"Oceanic-Kermadec Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Kermadec Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Three Kings Islands","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Northland Region","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Doubtless Bay","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Kaipara Harbour North","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Motiti Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",27,
"Mayor Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Waikato Region West","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Bays-Thames-Coromandel District","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Waikato Region East","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Firth of Thames","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Moutohora Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Bay of Plenty Region","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"White Island","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Gisborne Region","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Inlet-Port Napier","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
"Oceanic-Hawke's Bay Region","Total people, usual residence five years ago","Total people, age group","Total people, sex",0,
